"SP","6.0 Milhões"
"RJ","2.14 Milhões"
"MG","1.87 Milhões"
"RS","0.89 Milhões"
"PR","0.81 Milhões"
"SC","0.62 Milhões"
"BA","0.62 Milhões"
"DF","0.36 Milhões"
"GO","0.35 Milhões"
"ES","0.33 Milhões"
"PE","0.32 Milhões"
"CE","0.28 Milhões"
"PA","0.22 Milhões"
"MT","0.19 Milhões"
"MA","0.15 Milhões"
"PB","0.14 Milhões"
"MS","0.14 Milhões"
"PI","0.11 Milhões"
"RN","0.1 Milhões"
"AL","0.1 Milhões"
"SE","0.08 Milhões"
"TO","0.06 Milhões"
"RO","0.06 Milhões"
"AM","0.03 Milhões"
"AP","0.02 Milhões"
"AC","0.02 Milhões"
"RR","0.01 Milhões"
